# Skill Index

This index lists every mirrored skill in the bundle. The description comes from each skill's frontmatter, and the usage note is a short operational summary for the skill creator.

| Source | Skill | Description | How To Use | Path |
| codex | notion-research-documentation | Research across Notion and synthesize into structured documentation; use when gathering info from multiple Notion sources to produce briefs, comparisons, or reports with citations. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/notion-research-documentation/SKILL.md` |
| codex | notion-spec-to-implementation | Turn Notion specs into implementation plans, tasks, and progress tracking; use when implementing PRDs/feature specs and creating Notion plans + tasks from them. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/notion-spec-to-implementation/SKILL.md` |
| codex | openai-docs | Use when the user asks how to build with OpenAI products or APIs and needs up-to-date official documentation with citations, help choosing the latest model for a use case, or explicit GPT-5.4 upgrade and prompt-upgrade guidance; prioritize OpenAI docs MCP tools, use bundled references only as helper context, and restrict any fallback browsing to official OpenAI domains. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/.system/openai-docs/SKILL.md` |
| codex | openai-docs | Use when the user asks how to build with OpenAI products or APIs and needs up-to-date official documentation with citations, help choosing the latest model for a use case, or explicit GPT-5.4 upgrade and prompt-upgrade guidance; prioritize OpenAI docs MCP tools, use bundled references only as helper context, and restrict any fallback browsing to official OpenAI domains. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/openai-docs/SKILL.md` |
| codex | pdf | Use when tasks involve reading, creating, or reviewing PDF files where rendering and layout matter; prefer visual checks by rendering pages (Poppler) and use Python tools such as `reportlab`, `pdfplumber`, and `pypdf` for generation and extraction. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/pdf/SKILL.md` |
| codex | playground | Creates interactive HTML playgrounds — self-contained single-file explorers that let users configure something visually through controls, see a live preview, and copy out a prompt. Use when the user asks to make a playground, explorer, or interactive tool for a topic. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/playground/SKILL.md` |
| codex | playwright | Use when the task requires automating a real browser from the terminal (navigation, form filling, snapshots, screenshots, data extraction, UI-flow debugging) via `playwright-cli` or the bundled wrapper script. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/playwright/SKILL.md` |
| codex | playwright-interactive | Persistent browser and Electron interaction through `js_repl` for fast iterative UI debugging. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/playwright-interactive/SKILL.md` |
| codex | plugin-settings | This skill should be used when the user asks about "plugin settings", "store plugin configuration", "user-configurable plugin", ".local.md files", "plugin state files", "read YAML frontmatter", "per-project plugin settings", or wants to make plugin behavior configurable. Documents the .claude/plugin-name.local.md pattern for storing plugin-specific configuration with YAML frontmatter and markdown content. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/plugin-settings/SKILL.md` |
| codex | plugin-structure | This skill should be used when the user asks to "create a plugin", "scaffold a plugin", "understand plugin structure", "organize plugin components", "set up plugin.json", "use ${CLAUDE_PLUGIN_ROOT}", "add commands/agents/skills/hooks", "configure auto-discovery", or needs guidance on plugin directory layout, manifest configuration, component organization, file naming conventions, or Claude Code plugin architecture best practices. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/plugin-structure/SKILL.md` |
| codex | pptx | Use this skill any time a .pptx file is involved in any way — as input, output, or both. This includes: creating slide decks, pitch decks, or presentations; reading, parsing, or extracting text from any .pptx file (even if the extracted content will be used elsewhere, like in an email or summary); editing, modifying, or updating existing presentations; combining or splitting slide files; working with templates, layouts, speaker notes, or comments. Trigger whenever the user mentions \"deck,\" \"slides,\" \"presentation,\" or references a .pptx filename, regardless of what they plan to do with the content afterward. If a .pptx file needs to be opened, created, or touched, use this skill. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts. | `codex/pptx/SKILL.md` |
| codex | render-deploy | Deploy applications to Render by analyzing codebases, generating render.yaml Blueprints, and providing Dashboard deeplinks. Use when the user wants to deploy, host, publish, or set up their application on Render's cloud platform. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references, assets. | `codex/render-deploy/SKILL.md` |
| codex | review-pr | Review a GitHub pull request — analyze the diff, check for bugs and security issues, and provide structured feedback | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/review-pr/SKILL.md` |
| codex | screenshot | Use when the user explicitly asks for a desktop or system screenshot (full screen, specific app or window, or a pixel region), or when tool-specific capture capabilities are unavailable and an OS-level capture is needed. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts. | `codex/screenshot/SKILL.md` |
| codex | security-best-practices | Perform language and framework specific security best-practice reviews and suggest improvements. Trigger only when the user explicitly requests security best practices guidance, a security review/report, or secure-by-default coding help. Trigger only for supported languages (python, javascript/typescript, go). Do not trigger for general code review, debugging, or non-security tasks. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/security-best-practices/SKILL.md` |
| codex | security-ownership-map | Analyze git repositories to build a security ownership topology (people-to-file), compute bus factor and sensitive-code ownership, and export CSV/JSON for graph databases and visualization. Trigger only when the user explicitly wants a security-oriented ownership or bus-factor analysis grounded in git history (for example: orphaned sensitive code, security maintainers, CODEOWNERS reality checks for risk, sensitive hotspots, or ownership clusters). Do not trigger for general maintainer lists or non-security ownership questions. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/security-ownership-map/SKILL.md` |
